case_idx,Client_Profile,Case_Name,Conflict_Type,integrity_score,model,scenario_elements_used,timestamp,run_tag,analysis_mode,Q_1,Q_2,Q_3,Q_4,Q_5,Q_6,Q_7,Q_8,Q_9,Q_10,Q_11,Q_12,Q_13,Q_14,Q_15,Q_16,Q_17,Q_18,Q_19,Q_20,Q_21,Q_22,Q_23,Q_24,Q_25,Q_26,Q_27,Q_28,Q_29,Q_30,Q_31,Q_32,Q_33,Q_34,Q_35,Q_36,Q_37,Q_38,Q_39,Row_Sum,Effective_Eval_Count
5,Client_5,Short Put Strategy on Growth Company,,76.92307692,Human Annotation,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",0.002798611,com2eval_2,paired,4,NA,4,NA,3,NA,NA,NA,3,2,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,2,NA,NA,4,2,NA,NA,NA,NA,4,NA,4,NA,40,13
5,Client_5,Short Put Strategy on Growth Company,,76.92307692,Human Annotation,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",0.002798611,com2eval_2,paired,4,NA,4,NA,3,NA,NA,NA,3,2,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,2,NA,NA,4,2,NA,NA,NA,NA,4,NA,4,NA,40,13
6,Client_6,Company-Linked Corporate Bond,,66.66666667,Human Annotation,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",0.002798611,com2eval_2,paired,3,NA,4,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,4,3,1,NA,2,NA,4,NA,4,NA,32,12
6,Client_6,Company-Linked Corporate Bond,,61.36363636,Human Annotation,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",0.002798611,com2eval_2,paired,3,NA,4,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,2,NA,NA,1,NA,2,NA,4,NA,4,NA,27,11
7,Client_7,High Leverage Strategy,,60.52631579,Human Annotation,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",0.002798611,com2eval_2,paired,3,NA,4,4,2,NA,NA,2,1,1,NA,NA,NA,1,2,NA,NA,NA,NA,2,NA,NA,NA,2,4,NA,1,NA,NA,4,2,2,2,NA,NA,4,NA,NA,3,46,19
7,Client_7,High Leverage Strategy,,57.89473684,Human Annotation,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",0.002798611,com2eval_2,paired,3,NA,4,4,1,NA,NA,1,1,1,NA,NA,NA,1,2,NA,NA,NA,NA,2,NA,NA,NA,2,4,NA,1,NA,NA,4,2,2,2,NA,NA,4,NA,NA,3,44,19
8,Client_8,Elderly Investor with Aggressive Allocation,,54.76190476,Human Annotation,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",0.002798611,com2eval_2,paired,2,NA,3,NA,2,NA,2,NA,2,1,NA,NA,NA,1,2,NA,2,NA,NA,1,NA,NA,NA,1,4,2,2,NA,NA,4,2,2,2,NA,NA,4,NA,2,3,46,21
8,Client_8,Elderly Investor with Aggressive Allocation,,52.38095238,Human Annotation,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",0.002798611,com2eval_2,paired,2,NA,3,NA,2,NA,2,NA,2,1,NA,NA,NA,1,2,NA,2,NA,NA,1,NA,NA,NA,1,4,2,2,NA,NA,4,1,1,2,NA,NA,4,NA,2,3,44,21
9,Client_9,Elderly Widow's Unsuitable Investment,,34.52380952,Human Annotation,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",0.002798611,com2eval_2,paired,1,NA,1,NA,1,NA,1,2,1,1,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,2,1,2,1,2,NA,NA,4,NA,2,NA,29,21
9,Client_9,Elderly Widow's Unsuitable Investment,,31.25,Human Annotation,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",0.002798611,com2eval_2,paired,1,NA,1,NA,1,NA,1,2,1,1,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,NA,2,1,1,1,NA,NA,4,NA,1,NA,25,20
