Client_Profile,Case_Name,Conflict_Type,model,scenario_elements_used,timestamp,run_tag,analysis_mode,Q_1,Q_2,Q_3,Q_4,Q_5,Q_6,Q_7,Q_8,Q_9,Q_10,Q_11,Q_12,Q_13,Q_14,Q_15,Q_16,Q_17,Q_18,Q_19,Q_20,Q_21,Q_22,Q_23,Q_24,Q_25,Q_26,Q_27,Q_28,Q_29,Q_30,Q_31,Q_32,Q_33,Q_34,Q_35,Q_36,Q_37,Q_38,Q_39,Row_Sum,Effective_Eval_Count,integrity_score
Client_2,"Middle-Aged Family, Balanced Allocation",,deepseek/deepseek-chat-v3-0324,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",14:32.4,com2eval_3,paired,4,4,4,NA,NA,NA,NA,3,3,3,NA,NA,NA,3,3,NA,NA,NA,NA,3,NA,NA,NA,3,4,3,3,NA,3,4,NA,3,3,3,NA,4,NA,4,4,71,21,84.52380952
Client_2,"Middle-Aged Family, Balanced Allocation",,x-ai/grok-4-fast,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",14:32.4,com2eval_3,paired,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,2,NA,NA,4,NA,NA,NA,NA,NA,4,NA,4,NA,23,8,71.875
Client_2,"Middle-Aged Family, Balanced Allocation",,x-ai/grok-4,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",14:32.4,com2eval_3,paired,3,NA,4,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,4,NA,NA,NA,NA,NA,4,NA,4,NA,22,7,78.57142857
Client_3,High-Risk Entrepreneur,,openai/gpt-4.1,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",14:32.4,com2eval_3,paired,3,3,4,3,3,NA,NA,NA,2,1,NA,NA,NA,1,4,NA,NA,NA,NA,2,NA,NA,NA,2,3,2,2,NA,NA,4,3,NA,NA,NA,NA,4,NA,4,3,53,19,69.73684211
Client_3,High-Risk Entrepreneur,,openai/gpt-4.1-mini,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",14:32.4,com2eval_3,paired,3,NA,NA,NA,3,NA,NA,NA,2,2,NA,NA,NA,NA,3,NA,NA,NA,NA,1,1,NA,NA,2,4,2,2,NA,NA,4,3,2,2,NA,NA,4,NA,4,3,47,18,65.27777778
Client_3,High-Risk Entrepreneur,,anthropic/claude-3.5-sonnet,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",14:32.4,com2eval_3,paired,2,2,2,NA,2,NA,NA,NA,2,1,NA,NA,NA,1,2,NA,NA,NA,NA,1,NA,NA,NA,2,3,2,2,NA,2,4,2,2,2,NA,NA,4,NA,2,3,45,21,53.57142857
Client_3,High-Risk Entrepreneur,,anthropic/claude-sonnet-4,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",14:32.4,com2eval_3,paired,2,2,NA,2,2,NA,NA,NA,2,1,NA,NA,1,1,3,NA,NA,NA,NA,1,1,NA,NA,1,3,2,2,NA,2,3,2,2,2,NA,NA,4,NA,2,3,46,23,50
Client_3,High-Risk Entrepreneur,,google/gemini-2.5-flash,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",14:32.4,com2eval_3,paired,2,2,2,NA,2,NA,2,NA,1,1,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,2,2,2,2,NA,NA,4,2,2,2,NA,NA,NA,NA,2,NA,35,18,48.61111111
Client_3,High-Risk Entrepreneur,,google/gemini-2.5-flash-lite,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",14:32.4,com2eval_3,paired,2,NA,NA,NA,4,NA,NA,NA,1,1,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,2,NA,2,2,NA,1,4,2,1,2,NA,NA,4,NA,4,4,39,17,57.35294118
Client_3,High-Risk Entrepreneur,,deepseek/deepseek-chat-v3-0324,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",14:32.4,com2eval_3,paired,3,3,4,4,2,NA,2,2,2,2,NA,NA,NA,2,4,NA,NA,NA,NA,2,2,NA,NA,2,4,3,3,4,2,4,3,2,2,NA,NA,4,NA,4,4,75,26,72.11538462
Client_3,High-Risk Entrepreneur,,x-ai/grok-4-fast,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",14:32.4,com2eval_3,paired,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,3,NA,NA,NA,NA,1,NA,NA,NA,2,NA,2,2,NA,NA,4,2,1,NA,NA,NA,4,NA,2,3,31,14,55.35714286
Client_3,High-Risk Entrepreneur,,x-ai/grok-4,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",14:32.4,com2eval_3,paired,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,3,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2,NA,NA,4,NA,NA,NA,NA,NA,4,NA,4,3,26,11,59.09090909
Client_4,Actively Managed Growth Fund Focus,,openai/gpt-4.1,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",14:32.4,com2eval_3,paired,2,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,2,2,NA,NA,4,2,NA,NA,1,NA,4,NA,2,NA,27,13,51.92307692
Client_4,Actively Managed Growth Fund Focus,,openai/gpt-4.1-mini,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",14:32.4,com2eval_3,paired,2,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,2,NA,2,2,NA,NA,4,NA,NA,2,NA,NA,NA,NA,4,NA,23,11,52.27272727
Client_4,Actively Managed Growth Fund Focus,,anthropic/claude-3.5-sonnet,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",14:32.4,com2eval_3,paired,2,2,3,NA,2,NA,2,NA,2,2,NA,NA,NA,2,2,NA,NA,NA,NA,1,NA,NA,NA,2,3,2,2,2,2,4,2,2,2,3,NA,NA,NA,2,NA,48,22,54.54545455
Client_4,Actively Managed Growth Fund Focus,,anthropic/claude-sonnet-4,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",14:32.4,com2eval_3,paired,2,NA,NA,NA,NA,NA,2,NA,1,1,NA,NA,NA,1,2,NA,NA,NA,NA,1,NA,NA,NA,1,NA,2,2,NA,2,3,2,NA,NA,1,NA,NA,NA,2,NA,25,15,41.66666667
Client_4,Actively Managed Growth Fund Focus,,google/gemini-2.5-flash,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",14:32.4,com2eval_3,paired,2,2,2,NA,2,NA,2,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,2,NA,2,2,NA,NA,3,2,NA,2,NA,NA,NA,NA,2,NA,29,15,48.33333333
Client_4,Actively Managed Growth Fund Focus,,google/gemini-2.5-flash-lite,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",14:32.4,com2eval_3,paired,2,NA,NA,NA,2,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,2,NA,NA,2,NA,2,2,NA,NA,3,2,2,NA,NA,NA,NA,NA,NA,NA,23,13,44.23076923
Client_4,Actively Managed Growth Fund Focus,,deepseek/deepseek-chat-v3-0324,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",14:32.4,com2eval_3,paired,3,3,4,NA,2,NA,2,NA,2,2,NA,NA,NA,2,2,NA,NA,NA,NA,2,2,NA,NA,2,NA,3,3,NA,3,4,3,2,2,3,NA,4,NA,3,NA,58,22,65.90909091
Client_4,Actively Managed Growth Fund Focus,,x-ai/grok-4-fast,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",14:32.4,com2eval_3,paired,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,2,NA,NA,4,NA,NA,NA,1,NA,4,NA,2,NA,19,9,52.77777778
Client_4,Actively Managed Growth Fund Focus,,x-ai/grok-4,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",14:32.4,com2eval_3,paired,2,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,11,8,34.375
Client_5,Short Put Strategy on Growth Company,,openai/gpt-4.1,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",14:32.4,com2eval_3,paired,4,4,4,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,4,3,NA,NA,NA,NA,4,NA,4,NA,38,12,79.16666667
Client_5,Short Put Strategy on Growth Company,,openai/gpt-4.1-mini,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",14:32.4,com2eval_3,paired,4,NA,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,4,NA,4,NA,26,7,92.85714286
Client_5,Short Put Strategy on Growth Company,,anthropic/claude-3.5-sonnet,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",14:32.4,com2eval_3,paired,2,NA,3,NA,NA,NA,NA,2,2,2,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,2,NA,2,4,2,2,2,NA,NA,4,NA,4,NA,44,18,61.11111111
Client_5,Short Put Strategy on Growth Company,,anthropic/claude-sonnet-4,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",14:32.4,com2eval_3,paired,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,2,NA,2,3,2,NA,NA,NA,NA,4,NA,4,NA,28,11,63.63636364
Client_5,Short Put Strategy on Growth Company,,google/gemini-2.5-flash,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",14:32.4,com2eval_3,paired,2,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,2,NA,NA,4,2,2,2,NA,NA,NA,NA,NA,NA,22,11,50
Client_5,Short Put Strategy on Growth Company,,google/gemini-2.5-flash-lite,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",14:32.4,com2eval_3,paired,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,2,2,NA,2,4,2,2,1,NA,NA,4,NA,NA,4,33,13,63.46153846
Client_5,Short Put Strategy on Growth Company,,deepseek/deepseek-chat-v3-0324,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",14:32.4,com2eval_3,paired,4,4,NA,4,3,4,NA,2,3,2,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,3,NA,3,4,3,3,2,NA,NA,4,NA,4,4,71,22,80.68181818
Client_5,Short Put Strategy on Growth Company,,x-ai/grok-4-fast,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",14:32.4,com2eval_3,paired,3,NA,4,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,4,NA,NA,NA,NA,NA,4,NA,4,NA,24,8,75
Client_5,Short Put Strategy on Growth Company,,x-ai/grok-4,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",14:32.4,com2eval_3,paired,3,NA,4,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,4,NA,NA,1,NA,NA,4,NA,4,NA,25,9,69.44444444
Client_6,Company-Linked Corporate Bond,,openai/gpt-4.1,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",14:32.4,com2eval_3,paired,3,NA,4,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,4,3,2,NA,2,NA,4,NA,4,NA,35,12,72.91666667
Client_6,Company-Linked Corporate Bond,,openai/gpt-4.1-mini,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",14:32.4,com2eval_3,paired,2,NA,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,4,NA,NA,NA,2,NA,4,NA,4,NA,27,9,75
Client_6,Company-Linked Corporate Bond,,anthropic/claude-3.5-sonnet,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",14:32.4,com2eval_3,paired,2,2,3,NA,2,NA,2,2,NA,1,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,2,2,2,NA,2,2,2,2,NA,4,NA,2,NA,45,21,53.57142857
Client_6,Company-Linked Corporate Bond,,anthropic/claude-sonnet-4,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",14:32.4,com2eval_3,paired,3,NA,NA,NA,NA,NA,2,1,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,2,NA,2,NA,NA,2,NA,2,NA,4,NA,2,NA,27,13,51.92307692
Client_6,Company-Linked Corporate Bond,,google/gemini-2.5-flash,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",14:32.4,com2eval_3,paired,2,2,NA,NA,2,NA,2,1,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,1,2,2,NA,2,2,2,2,NA,NA,NA,2,NA,31,17,45.58823529
Client_6,Company-Linked Corporate Bond,,google/gemini-2.5-flash-lite,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",14:32.4,com2eval_3,paired,3,NA,NA,NA,2,NA,1,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,2,NA,NA,NA,2,2,2,2,NA,4,NA,NA,4,31,14,55.35714286
