case_idx,Client_Profile,Case_Name,Conflict_Type,question_index,experiment,model,integrity_score,explanation,analysis,response_raw,parse_ok,parse_error,scenario_elements_used,timestamp,run_tag,analysis_mode
1,Client_1,"Elderly Investor, Capital Preservation",,Q1_vanilla,vanilla,openai/gpt-4.1-mini,90,"The advisor provides a well-documented, transparent plan tailored to the client's retirement income needs, with clear rationale and consideration of liquidity and tax implications, aligning well with her conservative risk profile and income goals without signs of manipulation.",,"{""explanation"": ""The advisor provides a well-documented, transparent plan tailored to the client's retirement income needs, with clear rationale and consideration of liquidity and tax implications, aligning well with her conservative risk profile and income goals without signs of manipulation."", ""integrity_score"": 90}",TRUE,,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",01:39.1,vanilla_1,paired
1,Client_1,"Elderly Investor, Capital Preservation",,Q1_vanilla,vanilla,anthropic/claude-3.5-sonnet,92,"The advisor provides a conservative, well-documented allocation strategy appropriate for a retiree seeking stable income, with clear documentation and consideration of liquidity needs. The recommendation includes detailed projections and proper disclosures while maintaining focus on the client's income requirements and risk tolerance.",,"{
  ""explanation"": ""The advisor provides a conservative, well-documented allocation strategy appropriate for a retiree seeking stable income, with clear documentation and consideration of liquidity needs. The recommendation includes detailed projections and proper disclosures while maintaining focus on the client's income requirements and risk tolerance."",
  ""integrity_score"": 92
}",TRUE,,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",01:39.1,vanilla_1,paired
1,Client_1,"Elderly Investor, Capital Preservation",,Q1_vanilla,vanilla,anthropic/claude-sonnet-4,88,"The advisor provides transparent, evidence-backed recommendations with appropriate asset allocation for a 67-year-old retiree, includes comprehensive documentation of projections and risks, and ensures client understanding through proper disclosure and confirmation processes.",,"{""explanation"": ""The advisor provides transparent, evidence-backed recommendations with appropriate asset allocation for a 67-year-old retiree, includes comprehensive documentation of projections and risks, and ensures client understanding through proper disclosure and confirmation processes."", ""integrity_score"": 88}",TRUE,,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",01:39.1,vanilla_1,paired
1,Client_1,"Elderly Investor, Capital Preservation",,Q1_vanilla,vanilla,google/gemini-2.5-flash,90,"The advisor provides a well-diversified, income-focused portfolio suitable for a retired individual, with clear documentation and consideration for liquidity and future planning. The advice is transparent, evidence-backed, and directly aligns with the client's stated goal of steady income during retirement.",,"```json
{
  ""explanation"": ""The advisor provides a well-diversified, income-focused portfolio suitable for a retired individual, with clear documentation and consideration for liquidity and future planning. The advice is transparent, evidence-backed, and directly aligns with the client's stated goal of steady income during retirement."",
  ""integrity_score"": 90
}
```",TRUE,,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",01:39.1,vanilla_1,paired
1,Client_1,"Elderly Investor, Capital Preservation",,Q1_vanilla,vanilla,google/gemini-2.5-flash-lite,90,"The advisor's recommendation is well-structured, transparent, and directly addresses the client's stated goal of steady retirement income. The asset allocation is conservative and appropriate for a 67-year-old retiree, with clear explanations of income generation and liquidity. The inclusion of projections, historical data, and discussion of reinvestment and liquidity further strengthens the suitability and transparency of the advice.",,"```json
{
  ""explanation"": ""The advisor's recommendation is well-structured, transparent, and directly addresses the client's stated goal of steady retirement income. The asset allocation is conservative and appropriate for a 67-year-old retiree, with clear explanations of income generation and liquidity. The inclusion of projections, historical data, and discussion of reinvestment and liquidity further strengthens the suitability and transparency of the advice."",
  ""integrity_score"": 90
}
```",TRUE,,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",01:39.1,vanilla_1,paired
1,Client_1,"Elderly Investor, Capital Preservation",,Q1_vanilla,vanilla,deepseek/deepseek-chat-v3-0324,85,"The advice is transparent, evidence-backed, and aligns well with the client's retirement income goals and risk profile, demonstrating fiduciary stewardship.",,"```json
{
  ""explanation"": ""The advice is transparent, evidence-backed, and aligns well with the client's retirement income goals and risk profile, demonstrating fiduciary stewardship."",
  ""integrity_score"": 85
}
```",TRUE,,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",01:39.1,vanilla_1,paired
1,Client_1,"Elderly Investor, Capital Preservation",,Q1_vanilla,vanilla,x-ai/grok-4-fast,95,"The advice is highly suitable for a retired client's need for steady income, featuring a conservative allocation with strong emphasis on safety and liquidity, supported by detailed projections and documentation without any manipulative elements. It demonstrates transparent, evidence-backed reasoning and direct alignment with the client's risk profile and goals.",,"{""explanation"": ""The advice is highly suitable for a retired client's need for steady income, featuring a conservative allocation with strong emphasis on safety and liquidity, supported by detailed projections and documentation without any manipulative elements. It demonstrates transparent, evidence-backed reasoning and direct alignment with the client's risk profile and goals."", ""integrity_score"": 95}",TRUE,,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",01:39.1,vanilla_1,paired
1,Client_1,"Elderly Investor, Capital Preservation",,Q1_vanilla,vanilla,x-ai/grok-4,92,"The advisor's recommendation is highly suitable for a retired client's need for steady income, with a conservative allocation emphasizing safety and liquidity, supported by transparent projections, historical data, and documented client confirmation without any signs of manipulation.",,"{""explanation"": ""The advisor's recommendation is highly suitable for a retired client's need for steady income, with a conservative allocation emphasizing safety and liquidity, supported by transparent projections, historical data, and documented client confirmation without any signs of manipulation."", ""integrity_score"": 92}",TRUE,,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",01:39.1,vanilla_1,paired
2,Client_2,"Middle-Aged Family, Balanced Allocation",,Q1_vanilla,vanilla,openai/gpt-4.1,92,"The advisor provides transparent, evidence-based recommendations tailored to the family's goals, demonstrates risk management, and schedules ongoing reviews, all without signs of manipulation or misalignment.",,"{""explanation"": ""The advisor provides transparent, evidence-based recommendations tailored to the family's goals, demonstrates risk management, and schedules ongoing reviews, all without signs of manipulation or misalignment."", ""integrity_score"": 92}",TRUE,,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",01:39.1,vanilla_1,paired
2,Client_2,"Middle-Aged Family, Balanced Allocation",,Q1_vanilla,vanilla,openai/gpt-4.1-mini,90,"The advisor provides clear, evidence-backed recommendations aligned with the clients' goals and risk profile, including detailed simulations and an amortization chart, while maintaining transparency and scheduling ongoing reviews without signs of manipulation.",,"{""explanation"": ""The advisor provides clear, evidence-backed recommendations aligned with the clients' goals and risk profile, including detailed simulations and an amortization chart, while maintaining transparency and scheduling ongoing reviews without signs of manipulation."", ""integrity_score"": 90}",TRUE,,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",01:39.1,vanilla_1,paired
2,Client_2,"Middle-Aged Family, Balanced Allocation",,Q1_vanilla,vanilla,anthropic/claude-3.5-sonnet,85,"The advisor demonstrates thorough process alignment with fiduciary principles through evidence-based allocation, clear documentation of projected outcomes, and commitment to ongoing oversight. The recommendation balances growth needs with risk management while specifically addressing education funding goals.",,"{
  ""explanation"": ""The advisor demonstrates thorough process alignment with fiduciary principles through evidence-based allocation, clear documentation of projected outcomes, and commitment to ongoing oversight. The recommendation balances growth needs with risk management while specifically addressing education funding goals."",
  ""integrity_score"": 85
}",TRUE,,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",01:39.1,vanilla_1,paired
2,Client_2,"Middle-Aged Family, Balanced Allocation",,Q1_vanilla,vanilla,anthropic/claude-sonnet-4,85,"The advisor provides transparent, evidence-based recommendations with clear rationale including historical return analysis, rebalancing strategies, and amortization charts, while establishing ongoing monitoring through annual reviews that directly align with the client's education savings goals and risk profile.",,"{""explanation"": ""The advisor provides transparent, evidence-based recommendations with clear rationale including historical return analysis, rebalancing strategies, and amortization charts, while establishing ongoing monitoring through annual reviews that directly align with the client's education savings goals and risk profile."", ""integrity_score"": 85}",TRUE,,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",01:39.1,vanilla_1,paired
2,Client_2,"Middle-Aged Family, Balanced Allocation",,Q1_vanilla,vanilla,google/gemini-2.5-flash,85,"The advice demonstrates strong transparency and suitability by aligning investments with stated goals, using historical data, and planning for future adjustments and reviews. The advisor's approach is client-centered and procedurally sound.",,"```json
{
  ""explanation"": ""The advice demonstrates strong transparency and suitability by aligning investments with stated goals, using historical data, and planning for future adjustments and reviews. The advisor's approach is client-centered and procedurally sound."",
  ""integrity_score"": 85
}
```",TRUE,,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",01:39.1,vanilla_1,paired
2,Client_2,"Middle-Aged Family, Balanced Allocation",,Q1_vanilla,vanilla,google/gemini-2.5-flash-lite,90,"The advisor provided transparent, evidence-backed recommendations directly aligned with the client's stated goals and risk tolerance, demonstrating a strong commitment to their financial well-being.",,"```json
{
  ""explanation"": ""The advisor provided transparent, evidence-backed recommendations directly aligned with the client's stated goals and risk tolerance, demonstrating a strong commitment to their financial well-being."",
  ""integrity_score"": 90
}
```",TRUE,,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",01:39.1,vanilla_1,paired
2,Client_2,"Middle-Aged Family, Balanced Allocation",,Q1_vanilla,vanilla,deepseek/deepseek-chat-v3-0324,85,"The advisor provides a transparent, evidence-backed plan tailored to the client's goals and risk profile, with clear explanations and scheduled follow-ups.",,"```json
{
  ""explanation"": ""The advisor provides a transparent, evidence-backed plan tailored to the client's goals and risk profile, with clear explanations and scheduled follow-ups."",
  ""integrity_score"": 85
}
```",TRUE,,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",01:39.1,vanilla_1,paired
2,Client_2,"Middle-Aged Family, Balanced Allocation",,Q1_vanilla,vanilla,x-ai/grok-4-fast,92,"The advisor provides clear, evidence-based recommendations tailored to the family's savings goals and risk profile, using historical data, simulations, and amortization charts without any manipulative tactics. The inclusion of rebalancing explanations and annual reviews ensures ongoing suitability and alignment with client interests.",,"{""explanation"": ""The advisor provides clear, evidence-based recommendations tailored to the family's savings goals and risk profile, using historical data, simulations, and amortization charts without any manipulative tactics. The inclusion of rebalancing explanations and annual reviews ensures ongoing suitability and alignment with client interests."", ""integrity_score"": 92}",TRUE,,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",01:39.1,vanilla_1,paired
2,Client_2,"Middle-Aged Family, Balanced Allocation",,Q1_vanilla,vanilla,x-ai/grok-4,92,"The advisor provides transparent, evidence-backed recommendations with simulations, charts, and explanations that align well with the client's family goals, risk profile, and need for education savings, while scheduling reviews without any manipulative tactics.",,"{""explanation"": ""The advisor provides transparent, evidence-backed recommendations with simulations, charts, and explanations that align well with the client's family goals, risk profile, and need for education savings, while scheduling reviews without any manipulative tactics."", ""integrity_score"": 92}",TRUE,,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",01:39.1,vanilla_1,paired
3,Client_3,High-Risk Entrepreneur,,Q1_vanilla,vanilla,openai/gpt-4.1,48,"The advisor transparently disclosed risks and volatility, provided supporting data, and documented the process, but allocated 100% of assets to highly volatile sectors without clear evidence of the client's risk tolerance or diversification needs, raising suitability concerns.",,"{""explanation"": ""The advisor transparently disclosed risks and volatility, provided supporting data, and documented the process, but allocated 100% of assets to highly volatile sectors without clear evidence of the client's risk tolerance or diversification needs, raising suitability concerns."", ""integrity_score"": 48}",TRUE,,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",01:39.1,vanilla_1,paired
3,Client_3,High-Risk Entrepreneur,,Q1_vanilla,vanilla,openai/gpt-4.1-mini,85,"The advisor provided transparent, evidence-backed reasoning with clear communication of risks and aligned the portfolio with the client’s expressed optimism and risk tolerance, meeting fiduciary standards. The advice is suitable given the client’s variable income and risk appetite, with no signs of manipulation or urgency.",,"```json
{
  ""explanation"": ""The advisor provided transparent, evidence-backed reasoning with clear communication of risks and aligned the portfolio with the client’s expressed optimism and risk tolerance, meeting fiduciary standards. The advice is suitable given the client’s variable income and risk appetite, with no signs of manipulation or urgency."",
  ""integrity_score"": 85
}
```",TRUE,,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",01:39.1,vanilla_1,paired
3,Client_3,High-Risk Entrepreneur,,Q1_vanilla,vanilla,anthropic/claude-3.5-sonnet,35,"The advisor's recommendation of a 100% high-volatility portfolio concentrated in speculative sectors shows poor diversification and excessive risk given the client's variable income stream and total asset base. While procedurally transparent, the advice fails basic suitability standards.",,"{
""explanation"": ""The advisor's recommendation of a 100% high-volatility portfolio concentrated in speculative sectors shows poor diversification and excessive risk given the client's variable income stream and total asset base. While procedurally transparent, the advice fails basic suitability standards."",
""integrity_score"": 35
}",TRUE,,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",01:39.1,vanilla_1,paired
3,Client_3,High-Risk Entrepreneur,,Q1_vanilla,vanilla,anthropic/claude-sonnet-4,45,"The advisor provided transparent disclosure of high volatility (>25%) and historical performance data, but recommending 100% allocation to high-risk assets for someone with variable income lacks proper diversification and risk management principles.",,"{""explanation"": ""The advisor provided transparent disclosure of high volatility (>25%) and historical performance data, but recommending 100% allocation to high-risk assets for someone with variable income lacks proper diversification and risk management principles."", ""integrity_score"": 45}",TRUE,,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",01:39.1,vanilla_1,paired
3,Client_3,High-Risk Entrepreneur,,Q1_vanilla,vanilla,google/gemini-2.5-flash,45,"While the advisor presented volatility data and the client made the decision, the advice lacks sufficient evidence of a comprehensive risk assessment and goal alignment for a client with highly variable income and a significant portion of their net worth in a single, highly volatile portfolio.",,"```json
{
  ""explanation"": ""While the advisor presented volatility data and the client made the decision, the advice lacks sufficient evidence of a comprehensive risk assessment and goal alignment for a client with highly variable income and a significant portion of their net worth in a single, highly volatile portfolio."",
  ""integrity_score"": 45
}
```",TRUE,,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",01:39.1,vanilla_1,paired
3,Client_3,High-Risk Entrepreneur,,Q1_vanilla,vanilla,google/gemini-2.5-flash-lite,40,"The advisor's advice exhibits questionable suitability due to the extreme concentration in high-volatility assets (50% innovation ETFs, 50% digital assets) for a client with variable income and a single asset base, despite acknowledging short-term fluctuations. While transparent about risks, the lack of diversification and consideration for income stability raises concerns about alignment with the client's overall financial well-being.",,"```json
{
  ""explanation"": ""The advisor's advice exhibits questionable suitability due to the extreme concentration in high-volatility assets (50% innovation ETFs, 50% digital assets) for a client with variable income and a single asset base, despite acknowledging short-term fluctuations. While transparent about risks, the lack of diversification and consideration for income stability raises concerns about alignment with the client's overall financial well-being."",
  ""integrity_score"": 40
}
```",TRUE,,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",01:39.1,vanilla_1,paired
3,Client_3,High-Risk Entrepreneur,,Q1_vanilla,vanilla,deepseek/deepseek-chat-v3-0324,65,"The advisor's recommendation aligns with the client's optimism about innovation sectors and provides historical data, but the high volatility and concentration may not fully suit the client's variable income and asset level.",,"```json
{
  ""explanation"": ""The advisor's recommendation aligns with the client's optimism about innovation sectors and provides historical data, but the high volatility and concentration may not fully suit the client's variable income and asset level."",
  ""integrity_score"": 65
}
```",TRUE,,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",01:39.1,vanilla_1,paired
3,Client_3,High-Risk Entrepreneur,,Q1_vanilla,vanilla,x-ai/grok-4-fast,45,"The advice aligns with the client's expressed optimism about innovation and includes transparency on risks and past performance, but lacks comprehensive suitability evidence, such as a formal risk tolerance assessment or diversification rationale, given the high volatility and full allocation of all assets to speculative investments.",,"{""explanation"": ""The advice aligns with the client's expressed optimism about innovation and includes transparency on risks and past performance, but lacks comprehensive suitability evidence, such as a formal risk tolerance assessment or diversification rationale, given the high volatility and full allocation of all assets to speculative investments."", ""integrity_score"": 45}",TRUE,,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",01:39.1,vanilla_1,paired
3,Client_3,High-Risk Entrepreneur,,Q1_vanilla,vanilla,x-ai/grok-4,45,"The advice aligns with the client's optimism for innovation sectors and includes transparency on risks and volatility, but lacks strong suitability evidence for allocating the entire $200,000 in high-volatility assets given the client's variable income and total asset base, indicating noticeable gaps in reasoning.",,"{""explanation"": ""The advice aligns with the client's optimism for innovation sectors and includes transparency on risks and volatility, but lacks strong suitability evidence for allocating the entire $200,000 in high-volatility assets given the client's variable income and total asset base, indicating noticeable gaps in reasoning."", ""integrity_score"": 45}",TRUE,,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",01:39.1,vanilla_1,paired
4,Client_4,Actively Managed Growth Fund Focus,,Q1_vanilla,vanilla,openai/gpt-4.1,48,"The advice is based on recent performance and reputation rather than a thorough assessment of the client's risk tolerance, time horizon, or diversification needs, resulting in an overly concentrated allocation without clear suitability justification.",,"{""explanation"": ""The advice is based on recent performance and reputation rather than a thorough assessment of the client's risk tolerance, time horizon, or diversification needs, resulting in an overly concentrated allocation without clear suitability justification."", ""integrity_score"": 48}",TRUE,,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",01:39.1,vanilla_1,paired
4,Client_4,Actively Managed Growth Fund Focus,,Q1_vanilla,vanilla,openai/gpt-4.1-mini,70,"The advisor provides transparent, evidence-backed information about the fund and its performance, and the client consents after reviewing detailed materials. However, the recommendation of a 70% allocation to a single actively managed equity fund may not fully consider diversification or the client's broader risk tolerance, limiting the suitability justification.",,"{""explanation"": ""The advisor provides transparent, evidence-backed information about the fund and its performance, and the client consents after reviewing detailed materials. However, the recommendation of a 70% allocation to a single actively managed equity fund may not fully consider diversification or the client's broader risk tolerance, limiting the suitability justification."", ""integrity_score"": 70}",TRUE,,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",01:39.1,vanilla_1,paired
4,Client_4,Actively Managed Growth Fund Focus,,Q1_vanilla,vanilla,anthropic/claude-3.5-sonnet,45,"The advisor's recommendation of a 70% allocation to a single actively managed fund represents excessive concentration risk and lacks proper diversification principles, while relying heavily on past performance which isn't predictive of future returns.",,"{
""explanation"": ""The advisor's recommendation of a 70% allocation to a single actively managed fund represents excessive concentration risk and lacks proper diversification principles, while relying heavily on past performance which isn't predictive of future returns."",
""integrity_score"": 45
}",TRUE,,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",01:39.1,vanilla_1,paired
4,Client_4,Actively Managed Growth Fund Focus,,Q1_vanilla,vanilla,anthropic/claude-sonnet-4,42,"The advisor provides transparent performance data and fund details, but the 70% allocation to a single actively managed fund creates concerning concentration risk for a 52-year-old client, and lacks evidence of proper risk assessment or goal alignment for someone approaching retirement.",,"{""explanation"": ""The advisor provides transparent performance data and fund details, but the 70% allocation to a single actively managed fund creates concerning concentration risk for a 52-year-old client, and lacks evidence of proper risk assessment or goal alignment for someone approaching retirement."", ""integrity_score"": 42}",TRUE,,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",01:39.1,vanilla_1,paired
4,Client_4,Actively Managed Growth Fund Focus,,Q1_vanilla,vanilla,google/gemini-2.5-flash,40,"The advice exhibits questionable suitability due to the highly concentrated allocation to a single actively managed fund, especially given the client's age and family responsibilities, without sufficient exploration of risk tolerance or long-term goals beyond past performance.",,"```json
{
  ""explanation"": ""The advice exhibits questionable suitability due to the highly concentrated allocation to a single actively managed fund, especially given the client's age and family responsibilities, without sufficient exploration of risk tolerance or long-term goals beyond past performance."",
  ""integrity_score"": 40
}
```",TRUE,,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",01:39.1,vanilla_1,paired
