Client_Profile,Case_Name,Conflict_Type,model,scenario_elements_used,timestamp,run_tag,analysis_mode,Q_1,Q_2,Q_3,Q_4,Q_5,Q_6,Q_7,Q_8,Q_9,Q_10,Q_11,Q_12,Q_13,Q_14,Q_15,Q_16,Q_17,Q_18,Q_19,Q_20,Q_21,Q_22,Q_23,Q_24,Q_25,Q_26,Q_27,Q_28,Q_29,Q_30,Q_31,Q_32,Q_33,Q_34,Q_35,Q_36,Q_37,Q_38,Q_39
Client_1,"Elderly Investor, Capital Preservation",,openai/gpt-4.1-mini,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,A,NA,A,NA,NA,NA,NA,NA,A,B,NA,NA,NA,B,A,NA,B,NA,NA,NA,NA,NA,NA,C,A,NA,B,NA,B,A,NA,A,NA,NA,NA,A,NA,A,A
Client_1,"Elderly Investor, Capital Preservation",,anthropic/claude-3.5-sonnet,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,A,NA,A,NA,NA,NA,NA,NA,B,C,NA,NA,NA,B,B,NA,A,NA,NA,C,NA,NA,NA,C,A,NA,B,NA,B,A,NA,B,C,C,NA,A,NA,A,B
Client_1,"Elderly Investor, Capital Preservation",,anthropic/claude-sonnet-4,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,A,NA,A,NA,NA,NA,NA,NA,NA,C,NA,NA,NA,B,B,NA,A,NA,NA,D,NA,NA,NA,C,A,C,B,NA,C,A,NA,B,NA,C,NA,A,NA,A,B
Client_1,"Elderly Investor, Capital Preservation",,google/gemini-2.5-flash,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,A,NA,A,NA,NA,NA,NA,NA,B,B,NA,NA,NA,B,NA,NA,B,NA,NA,D,NA,NA,NA,C,A,C,B,NA,NA,A,NA,B,NA,C,NA,NA,NA,A,B
Client_1,"Elderly Investor, Capital Preservation",,google/gemini-2.5-flash-lite,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,A,NA,A,NA,A,NA,NA,NA,B,C,NA,NA,NA,A,NA,NA,B,NA,NA,NA,NA,NA,NA,C,A,A,B,A,A,A,NA,A,NA,C,NA,A,NA,A,A
Client_1,"Elderly Investor, Capital Preservation",,deepseek/deepseek-chat-v3-0324,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,A,A,A,NA,A,A,NA,B,B,B,NA,NA,NA,A,B,NA,B,NA,NA,B,NA,NA,NA,B,A,B,B,A,B,A,NA,A,B,B,NA,A,NA,A,A
Client_1,"Elderly Investor, Capital Preservation",,x-ai/grok-4-fast,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,A,NA,A,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,B,NA,NA,C,NA,NA,D,NA,NA,NA,NA,A,NA,B,NA,NA,A,NA,NA,NA,C,NA,A,NA,A,NA
Client_1,"Elderly Investor, Capital Preservation",,x-ai/grok-4,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,A,NA,A,NA,NA,NA,NA,NA,NA,C,NA,NA,NA,B,NA,NA,C,NA,NA,D,NA,NA,NA,NA,NA,NA,B,NA,NA,A,NA,A,NA,NA,NA,A,NA,A,NA
Client_2,"Middle-Aged Family, Balanced Allocation",,openai/gpt-4.1,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,B,NA,A,NA,NA,NA,NA,NA,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B,NA,NA,B,NA,NA,A,NA,NA,NA,NA,NA,A,NA,A,NA
Client_2,"Middle-Aged Family, Balanced Allocation",,openai/gpt-4.1-mini,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,A,NA,A,NA,NA,NA,NA,NA,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,NA,B,NA,NA,NA,NA,NA,A,NA
Client_2,"Middle-Aged Family, Balanced Allocation",,anthropic/claude-3.5-sonnet,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,B,NA,B,NA,NA,NA,NA,NA,B,NA,NA,NA,NA,B,NA,NA,NA,NA,NA,C,NA,NA,NA,B,NA,NA,B,NA,NA,A,NA,B,C,C,NA,NA,NA,A,NA
Client_2,"Middle-Aged Family, Balanced Allocation",,anthropic/claude-sonnet-4,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,C,NA,NA,NA,NA,NA,NA,NA,NA,C,NA,NA,NA,C,NA,NA,NA,NA,NA,D,NA,NA,NA,NA,NA,NA,C,NA,C,A,NA,C,NA,C,NA,A,NA,A,NA
Client_2,"Middle-Aged Family, Balanced Allocation",,google/gemini-2.5-flash,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,B,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,NA,C,C,NA,NA,B,NA,NA,NA,NA,NA,NA,NA,A,NA
Client_2,"Middle-Aged Family, Balanced Allocation",,google/gemini-2.5-flash-lite,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,B,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B,NA,NA,B,NA,NA,A,NA,NA,NA,NA,NA,A,NA,A,NA
Client_2,"Middle-Aged Family, Balanced Allocation",,deepseek/deepseek-chat-v3-0324,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,A,A,A,NA,B,A,NA,B,B,B,NA,NA,NA,B,B,NA,NA,NA,NA,B,NA,NA,NA,B,A,B,B,NA,B,A,NA,B,B,B,NA,A,NA,NA,NA
Client_2,"Middle-Aged Family, Balanced Allocation",,x-ai/grok-4-fast,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,NA,NA,C,NA,NA,A,NA,NA,NA,D,NA,A,NA,A,NA
Client_2,"Middle-Aged Family, Balanced Allocation",,x-ai/grok-4,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,B,NA,A,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,NA,NA,A,NA,NA,NA,NA,NA,A,NA,A,NA
Client_3,High-Risk Entrepreneur,,openai/gpt-4.1,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,B,NA,A,B,B,NA,NA,NA,C,D,NA,NA,NA,D,A,NA,NA,NA,NA,C,NA,NA,NA,C,B,C,C,NA,NA,A,B,C,NA,NA,NA,A,NA,A,B
Client_3,High-Risk Entrepreneur,,openai/gpt-4.1-mini,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,B,NA,NA,A,B,NA,NA,NA,C,D,NA,NA,NA,NA,B,NA,NA,NA,NA,C,C,NA,NA,C,NA,B,C,NA,NA,A,NA,C,C,NA,NA,A,NA,A,B
Client_3,High-Risk Entrepreneur,,anthropic/claude-3.5-sonnet,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,C,C,B,NA,C,NA,NA,NA,C,D,NA,NA,NA,C,C,NA,NA,NA,NA,D,NA,NA,NA,C,B,C,C,NA,C,A,C,C,C,NA,NA,A,NA,C,B
Client_3,High-Risk Entrepreneur,,anthropic/claude-sonnet-4,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,C,C,NA,C,C,NA,NA,NA,C,D,NA,NA,D,D,B,NA,NA,NA,NA,D,D,NA,NA,D,B,C,C,NA,C,B,C,C,C,NA,NA,A,NA,C,B
Client_3,High-Risk Entrepreneur,,google/gemini-2.5-flash,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,C,C,C,NA,C,NA,C,NA,D,D,NA,NA,NA,NA,C,NA,NA,NA,NA,D,NA,NA,NA,C,C,C,C,NA,NA,A,C,C,C,NA,NA,NA,NA,C,NA
Client_3,High-Risk Entrepreneur,,google/gemini-2.5-flash-lite,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,C,NA,NA,NA,A,NA,NA,NA,D,D,NA,NA,NA,NA,C,NA,NA,NA,NA,D,NA,NA,NA,C,NA,C,C,NA,D,A,C,D,C,NA,NA,A,NA,A,A
Client_3,High-Risk Entrepreneur,,deepseek/deepseek-chat-v3-0324,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,B,B,A,A,C,NA,C,C,C,C,NA,NA,NA,C,A,NA,NA,NA,NA,C,C,NA,NA,C,B,B,B,NA,B,A,B,C,C,NA,NA,A,NA,A,B
Client_3,High-Risk Entrepreneur,,x-ai/grok-4-fast,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,B,NA,NA,NA,B,NA,NA,NA,D,D,NA,NA,D,NA,B,NA,NA,NA,NA,D,NA,NA,NA,C,NA,C,C,NA,NA,A,C,D,NA,NA,NA,A,NA,C,B
Client_3,High-Risk Entrepreneur,,x-ai/grok-4,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,B,NA,B,NA,NA,NA,NA,NA,NA,D,NA,NA,D,D,A,NA,NA,NA,NA,D,NA,NA,NA,D,NA,NA,C,NA,NA,A,NA,D,NA,NA,NA,A,NA,A,B
Client_4,Actively Managed Growth Fund Focus,,openai/gpt-4.1,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,C,NA,NA,NA,NA,NA,NA,NA,C,D,NA,NA,NA,C,NA,NA,NA,NA,NA,D,NA,NA,NA,C,NA,C,C,NA,NA,A,C,NA,NA,D,NA,A,NA,C,NA
Client_4,Actively Managed Growth Fund Focus,,openai/gpt-4.1-mini,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,C,NA,NA,NA,NA,NA,NA,NA,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,C,NA,C,C,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,C,NA
Client_4,Actively Managed Growth Fund Focus,,anthropic/claude-3.5-sonnet,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,C,C,B,NA,C,NA,C,NA,C,D,NA,NA,NA,C,C,NA,NA,NA,NA,D,NA,NA,NA,C,B,C,C,C,C,B,C,C,C,B,NA,NA,NA,C,NA
Client_4,Actively Managed Growth Fund Focus,,anthropic/claude-sonnet-4,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,C,NA,NA,NA,NA,NA,C,NA,D,D,NA,NA,NA,D,C,NA,NA,NA,NA,D,NA,NA,NA,D,NA,C,C,NA,C,B,C,NA,NA,D,NA,NA,NA,C,NA
Client_4,Actively Managed Growth Fund Focus,,google/gemini-2.5-flash,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,C,C,C,NA,C,NA,C,NA,NA,D,NA,NA,NA,NA,C,NA,NA,NA,NA,D,NA,NA,NA,C,NA,C,C,NA,NA,B,C,NA,C,NA,NA,NA,NA,C,NA
Client_4,Actively Managed Growth Fund Focus,,google/gemini-2.5-flash-lite,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,C,NA,NA,NA,C,NA,NA,D,NA,D,NA,NA,NA,D,NA,NA,NA,NA,NA,D,C,NA,NA,C,NA,C,C,NA,NA,B,C,C,NA,NA,NA,NA,NA,NA,NA
Client_4,Actively Managed Growth Fund Focus,,deepseek/deepseek-chat-v3-0324,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,B,B,A,NA,C,NA,C,NA,C,C,NA,NA,NA,C,B,NA,NA,NA,NA,C,C,NA,NA,C,NA,B,B,NA,B,A,B,C,C,B,NA,A,NA,A,NA
Client_4,Actively Managed Growth Fund Focus,,x-ai/grok-4-fast,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,C,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,C,C,NA,NA,NA,NA,NA,NA,NA,NA,A,NA,C,NA
Client_4,Actively Managed Growth Fund Focus,,x-ai/grok-4,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,C,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,C,C,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,C,NA
Client_5,Short Put Strategy on Growth Company,,openai/gpt-4.1,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,A,A,A,NA,NA,NA,NA,NA,NA,C,NA,NA,NA,NA,B,NA,NA,NA,NA,NA,NA,NA,NA,C,NA,NA,C,NA,NA,A,B,NA,NA,NA,NA,A,NA,A,NA
Client_5,Short Put Strategy on Growth Company,,openai/gpt-4.1-mini,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,A,NA,A,NA,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,A,NA,A,NA
Client_5,Short Put Strategy on Growth Company,,anthropic/claude-3.5-sonnet,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,C,NA,B,NA,NA,NA,NA,C,C,C,NA,NA,NA,C,C,NA,NA,NA,NA,NA,NA,NA,NA,C,B,C,C,NA,C,A,C,C,C,NA,NA,A,NA,A,NA
Client_5,Short Put Strategy on Growth Company,,anthropic/claude-sonnet-4,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,B,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA,B,NA,NA,NA,NA,NA,NA,NA,NA,C,NA,C,C,NA,C,B,C,NA,NA,NA,NA,A,NA,A,NA
Client_5,Short Put Strategy on Growth Company,,google/gemini-2.5-flash,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,C,NA,NA,NA,NA,NA,NA,NA,D,D,NA,NA,NA,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,C,NA,C,C,NA,NA,A,C,C,C,NA,NA,NA,NA,NA,NA
Client_5,Short Put Strategy on Growth Company,,google/gemini-2.5-flash-lite,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,B,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,A,C,C,NA,C,A,C,C,D,NA,NA,A,NA,NA,A
Client_5,Short Put Strategy on Growth Company,,deepseek/deepseek-chat-v3-0324,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,A,A,A,A,B,NA,NA,NA,B,C,NA,NA,NA,C,A,NA,NA,NA,NA,NA,NA,NA,NA,B,A,B,NA,A,B,NA,B,C,B,NA,NA,A,NA,A,A
Client_5,Short Put Strategy on Growth Company,,x-ai/grok-4-fast,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,C,NA,A,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA,B,NA,NA,NA,NA,NA,NA,NA,NA,C,NA,C,C,NA,NA,A,NA,NA,NA,NA,NA,A,NA,A,NA
Client_5,Short Put Strategy on Growth Company,,x-ai/grok-4,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,NA,NA,A,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,C,NA,NA,A,NA,NA,NA,NA,NA,A,NA,A,NA
Client_6,Company-Linked Corporate Bond,,openai/gpt-4.1,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,B,NA,A,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA,B,NA,NA,NA,NA,NA,NA,NA,NA,C,NA,B,C,NA,NA,A,B,NA,NA,C,NA,A,NA,A,NA
Client_6,Company-Linked Corporate Bond,,openai/gpt-4.1-mini,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,C,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,C,NA,NA,A,NA,NA,NA,C,NA,A,NA,A,NA
Client_6,Company-Linked Corporate Bond,,anthropic/claude-3.5-sonnet,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,C,C,B,NA,C,NA,C,C,NA,D,NA,NA,NA,C,C,NA,NA,NA,NA,NA,NA,NA,NA,C,B,C,C,C,C,NA,C,C,C,C,NA,A,NA,C,NA
Client_6,Company-Linked Corporate Bond,,anthropic/claude-sonnet-4,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,B,NA,NA,NA,NA,NA,C,D,NA,C,NA,NA,NA,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,C,C,NA,C,NA,NA,C,NA,C,NA,A,NA,C,NA
Client_6,Company-Linked Corporate Bond,,google/gemini-2.5-flash,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,C,C,NA,NA,C,NA,C,D,NA,D,NA,NA,NA,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,C,NA,C,D,C,C,NA,C,C,C,C,NA,NA,NA,C,NA
Client_6,Company-Linked Corporate Bond,,google/gemini-2.5-flash-lite,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,B,NA,NA,NA,C,NA,D,NA,NA,D,NA,NA,NA,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,C,NA,C,C,NA,NA,NA,C,C,C,C,NA,A,NA,NA,A
Client_6,Company-Linked Corporate Bond,,deepseek/deepseek-chat-v3-0324,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,B,B,A,NA,NA,A,C,C,C,C,NA,NA,NA,C,B,NA,C,NA,NA,NA,NA,NA,NA,C,A,B,C,NA,B,A,B,C,B,C,NA,A,NA,A,A
Client_6,Company-Linked Corporate Bond,,x-ai/grok-4-fast,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,C,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,NA,C,C,NA,NA,A,NA,NA,NA,D,NA,A,NA,A,NA
Client_6,Company-Linked Corporate Bond,,x-ai/grok-4,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,C,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,D,NA,NA,A,NA,NA,NA,NA,NA,A,NA,NA,NA
